Country name,Regional indicator,Ladder score,Healthy life expectancy,CapitalName,CapitalLatitude,CapitalLongitude
Niger,Sub-Saharan Africa,4.556,0.293,Niamey,13.516666666666667,2.116667
Burkina Faso,Sub-Saharan Africa,4.548,0.274,Ouagadougou,12.366666666666667,-1.516667
Mauritania,Sub-Saharan Africa,4.505,0.4,Nouakchott,18.066666666666663,-15.966667
Chad,Sub-Saharan Africa,4.471,0.199,N'Djamena,12.1,15.033333
Kenya,Sub-Saharan Africa,4.47,0.353,Nairobi,-1.2833333333333332,36.816667
Tunisia,Middle East and North Africa,4.422,0.579,Tunis,36.8,10.183333
Benin,Sub-Saharan Africa,4.377,0.284,Porto-Novo,6.483333333333333,2.616667
Uganda,Sub-Saharan Africa,4.372,0.373,Kampala,0.3166666666666666,32.55
Myanmar,Southeast Asia,4.354,0.436,Rangoon,16.8,96.15
Cambodia,Southeast Asia,4.341,0.442,Phnom Penh,11.55,104.916667
Ghana,Sub-Saharan Africa,4.289,0.36,Accra,5.55,-0.216667
Liberia,Sub-Saharan Africa,4.269,0.301,Monrovia,6.3,-10.8
Mali,Sub-Saharan Africa,4.232,0.267,Bamako,12.65,-8.0
Madagascar,Sub-Saharan Africa,4.228,0.333,Antananarivo,-18.916666666666668,47.516667
Togo,Sub-Saharan Africa,4.214,0.32,Lome,6.116666666666666,1.216667
Jordan,Middle East and North Africa,4.186,0.594,Amman,31.95,35.933333
India,South Asia,4.054,0.417,New Delhi,28.6,77.2
Egypt,Middle East and North Africa,3.977,0.488,Cairo,30.05,31.25
Sri Lanka,South Asia,3.898,0.586,Colombo,6.916666666666667,79.833333
Bangladesh,South Asia,3.886,0.513,Dhaka,23.716666666666665,90.4
Ethiopia,Sub-Saharan Africa,3.861,0.42,Addis Ababa,9.033333333333331,38.7
Tanzania,Sub-Saharan Africa,3.781,0.38,Dar es Salaam,-6.8,39.283333
Comoros,Sub-Saharan Africa,3.566,0.37,Moroni,-11.7,43.233333
Yemen,Middle East and North Africa,3.561,0.293,Sanaa,15.35,44.2
Zambia,Sub-Saharan Africa,3.502,0.264,Lusaka,-15.416666666666666,28.283333
Malawi,Sub-Saharan Africa,3.421,0.349,Lilongwe,-13.966666666666669,33.783333
Botswana,Sub-Saharan Africa,3.383,0.241,Gaborone,-24.633333333333333,25.9
Zimbabwe,Sub-Saharan Africa,3.341,0.232,Harare,-17.816666666666666,31.033333
Sierra Leone,Sub-Saharan Africa,3.245,0.253,Freetown,8.483333333333333,-13.233333
Lesotho,Sub-Saharan Africa,3.186,0.0,Maseru,-29.316666666666663,27.483333
Lebanon,Middle East and North Africa,2.707,0.556,Beirut,33.86666666666667,35.5
Afghanistan,South Asia,1.721,0.242,Kabul,34.516666666666666,69.183333
